;SymbolsA;EntrezsA;logFC;AveExpr;t;P.Value;adj.P.Val;B;logFC validation;P.H.T12;P.H.T3;SBA12_B05.P.H.T12_1;SBA39_E07.P.H.T12_2;SBA60_A07.P.H.T12_1;SB12_A09.P.H.T3_1;SB39_E05.P.H.T3_2;SB60_A05.P.H.T3_1;s.post;s.unscaled;t.ord;p.ord;df.res;s.res;s.prior;df.prior
16823338;ZSCAN32;54925;-0,0216855015448636;3,68445575736556;-0,0853987158758946;0,933011714371151;0,998471812968053;-4,91906614264192;-0,021685501544864;3,70416225404807;3,72584775559294;3,20343943415058;4,18916827982886;3,71987904816478;3,87061723761179;3,93928330594434;3,36764272322268;0,311002414125561;0,816496580927726;-0,0921657999316274;0,9291485248901;7;0,288167702340009;0,327880125085604;8,8819669997526
17028526;LOC401242//XXbac-BPG308K3.6;401242;0,0223623285329273;2,68128023264171;0,0853553416809188;0,933045650131749;0,998471812968053;-4,91906802600244;0,0223623285329282;2,59911540304839;2,57675307451546;2,56419336054922;2,61933548879659;2,61381735979935;2,49221905854897;2,6076913812139;2,63034878378351;0,320872093576296;0,816496580927726;0,0878520001193062;0,932454741402032;7;0,311753257135664;0,327880125085604;8,8819669997526
16974925;LGI2;55203;-0,0289697910629689;3,82912178966949;-0,0853311836263628;0,933064551334804;0,998471812968053;-4,91906907456039;-0,0289697910629694;3,69101742857057;3,71998721963354;3,2713411709408;4,13540006107098;3,66631105369994;2,8952325680198;3,44309570187099;4,82163338900984;0,415798791506456;0,816496580927726;-0,0701452055249415;0,946039957050216;7;0,505816509683491;0,327880125085604;8,8819669997526
16852296;LIPG;9388;-0,0221370004731281;4,57750867974838;-0,0851527049652876;0,933204193886543;0,998471812968053;-4,91907681207714;-0,0221370004731272;4,91751434177427;4,9396513422474;5,40449506090435;4,48190408433836;4,86614388008009;5,19367343671097;4,37406994223068;5,25121064780054;0,318394792138535;0,816496580927726;-0,0886203409764827;0,931865756819935;7;0,305936283913098;0,327880125085604;8,8819669997526
16824132;NTAN1;123803;-0,0204528442278207;5,22869799098568;-0,0850570035872157;0,933279072028085;0,998471812968053;-4,91908095431899;-0,0204528442278198;5,25371871293377;5,27417155716159;5,14023131256969;5,41600500848915;5,20491981774246;5,33938429115413;5,35314982761839;5,12998055271224;0,294502686633079;0,816496580927726;-0,101947595742527;0,921657149664663;7;0,245709728522269;0,327880125085604;8,8819669997526
17104825;CXorf49B//CXorf49//LOC100129291//RP11-402P6.9;100132994;-0,0247977340879859;2,73317325968423;-0,084758798436722;0,93351239619791;0,998471812968053;-4,91909383170054;-0,0247977340879859;2,74075478957172;2,76555252365971;2,69490461142979;2,61451426206099;2,91284549522439;2,66077771943059;3,20720335193719;2,42867649961135;0,358321474661619;0,816496580927726;-0,0771672495057384;0,940649845359108;7;0,393572374821195;0,327880125085604;8,8819669997526
16797570;IGHV1-58;---;-0,0417279914230997;1,90206766547583;-0,084733578996793;0,933532128890858;0,998471812968053;-4,91909491867934;-0,0417279914230995;1,73142517898007;1,77315317040317;0,91531616250404;2,67877242803469;1,60018694640147;2,26866160074628;1,5728267801441;1,47797113031912;0,603139205188628;0,816496580927726;-0,061571537629935;0,952625175331893;7;0,8300287024839;0,327880125085604;8,8819669997526
16723697;PRR5L;79899;0,0227225731657366;2,760684027322;0,0846683514012999;0,933583165763872;0,998471812968053;-4,91909772854468;0,0227225731657361;2,8436908000906;2,82096822692487;2,69901725504839;3,12961194912662;2,7024431960968;3,31336411282661;2,44586214929403;2,70367841865396;0,32868662834421;0,816496580927726;0,0844062899124184;0,935096660981674;7;0,329707122282383;0,327880125085604;8,8819669997526
16865886;ZNF582-AS1//AC006116.25;386758;0,0217050636618441;3,42674784388946;0,0845916953433562;0,933643145139657;0,998471812968053;-4,91910102796179;0,0217050636618432;3,44712094744622;3,42541588378438;3,40785111747206;3,4922596126017;3,44125211226492;3,55119958936988;3,40339715486142;3,32165090712185;0,314252661507384;0,816496580927726;0,0897898216452373;0,930969359784031;7;0,296059897614036;0,327880125085604;8,8819669997526
16949907;LINC00969//SDHAP2;440993;-0,0200073925081208;5,67945448248352;-0,0845791334416228;0,933652974213398;0,998471812968053;-4,91910156836443;-0,0200073925081199;5,6916570959921;5,71166448850022;5,81102479926737;5,26116743051048;6,00277905819846;6,06754973090983;5,03364818135032;6,03379555324052;0,289716273590722;0,816496580927726;-0,105420061601303;0,918999773870854;7;0,232441064746414;0,327880125085604;8,8819669997526
